name                                                  old time/op            new time/op            delta
ExecutionPaths/true-batch-1/lease=5s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5s-2                          0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5s-2                         0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=10s-2                                 0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                 0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=10s-2                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=10s-2               0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1/lease=10s-2                           0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-100/lease=10s-2                         0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1000/lease=10s-2                        0.00                   0.00          ~     (all equal)
ExecutionPaths/single/lease=5m0s-2                                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2               0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2              0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                          0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                        0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5m0s-2                       0.00                   0.00          ~     (all equal)

name                                                  old lease-rows/job     new lease-rows/job     delta
ExecutionPaths/single/lease=1s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=1s-2                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=1s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=1s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=1s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=1s-2                          1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=1s-2                         1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=5s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5s-2                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5s-2                          1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5s-2                         1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=10s-2                                 0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                 0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=10s-2                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=10s-2               0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1/lease=10s-2                           0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-100/lease=10s-2                         0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1000/lease=10s-2                        0.00                   0.00          ~     (all equal)
ExecutionPaths/single/lease=5m0s-2                                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2                0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2               0.00                   0.00          ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2              0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                          0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                        0.00                   0.00          ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5m0s-2                       0.00                   0.00          ~     (all equal)

name                                                  old ns/job             new ns/job             delta
ExecutionPaths/single/lease=1s-2                                 3.25k ± 2%             3.25k ± 1%     ~     (p=0.588 n=10+8)
ExecutionPaths/prefetch-16-sequential/lease=1s-2                 1.41k ± 1%             1.30k ± 1%   -7.61%  (p=0.000 n=9+10)
ExecutionPaths/prefetch-100-sequential/lease=1s-2                1.47k ± 1%             1.08k ± 2%  -26.28%  (p=0.000 n=10+9)
ExecutionPaths/prefetch-1000-sequential/lease=1s-2               4.98k ± 3%             0.98k ± 2%  -80.33%  (p=0.000 n=10+8)
ExecutionPaths/true-batch-1/lease=1s-2                           3.62k ± 1%             3.64k ± 1%     ~     (p=0.108 n=9+9)
ExecutionPaths/true-batch-100/lease=1s-2                           904 ± 2%               906 ± 2%     ~     (p=0.780 n=10+9)
ExecutionPaths/true-batch-1000/lease=1s-2                          984 ± 2%               987 ± 5%     ~     (p=0.780 n=10+9)
ExecutionPaths/single/lease=5s-2                                 3.28k ± 1%             3.26k ± 1%     ~     (p=0.106 n=10+8)
ExecutionPaths/prefetch-16-sequential/lease=5s-2                 1.42k ± 0%             1.30k ± 1%   -8.11%  (p=0.000 n=9+8)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                1.48k ± 2%             1.08k ± 2%  -26.73%  (p=0.000 n=10+10)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2               4.97k ± 3%             0.98k ± 2%  -80.36%  (p=0.000 n=10+10)
ExecutionPaths/true-batch-1/lease=5s-2                           3.66k ± 2%             3.65k ± 1%     ~     (p=0.529 n=10+10)
ExecutionPaths/true-batch-100/lease=5s-2                           907 ± 2%               904 ± 2%     ~     (p=0.684 n=10+10)
ExecutionPaths/true-batch-1000/lease=5s-2                          989 ± 2%               983 ± 2%     ~     (p=0.161 n=10+9)
ExecutionPaths/single/lease=10s-2                                2.83k ± 1%             2.82k ± 1%     ~     (p=0.356 n=10+9)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                1.37k ± 0%             1.19k ± 2%  -13.08%  (p=0.000 n=9+9)
